WKT,ln_pop_den,pct_65_over,pct_age_18_29,pct_bach,pct_black,pct_fb,pct_hisp,pct_uninsured,dem_share,name,Intercept,X,Y,se0,b0,sepct_black,bpct_black,sepct_65_over,bpct_65_over,sepct_age_18_29,bpct_age_18_29,sepct_fb,bpct_fb,sepct_uninsured,bpct_uninsured,sepct_bach,bpct_bach,sepct_hisp,bpct_hisp,seln_pop_den,bln_pop_den
"POLYGON ((-87.0209310832108 32.8366197720877,-86.8773593234932 32.8366197720877,-86.8809486174862 33.0496665753558,-86.8809486174862 33.0720021273113,-86.8235199135991 33.0685658885489,-86.6117515680157 33.0702840079301,-86.5543228641286 33.0187404264943,-86.5184299241992 33.0204585458755,-86.5148406302063 32.9293982186722,-86.4789476902769 32.874418398474,-86.4502333383334 32.8641096821868,-86.4574119263193 32.8142842201322,-86.3748581644816 32.7532909820998,-86.414340398404 32.750713803028,-86.414340398404 32.7077608184982,-86.7158410938109 32.706042699117,-86.712251799818 32.6613715952059,-86.9168415574156 32.6639487742777,-87.0173417892179 32.6630897145871,-87.0173417892179 32.7292373107631,-87.0209310832108 32.8366197720877))",0.203661384191801,-0.618674506321293,-0.0463707743695354,-0.969939215158402,0.00371113336872589,-0.0209161058779966,-0.118832964798543,0.689806382341057,-1.09562045282203,Chilton,1,-0.0867191818011042,0.0328488421498458,0.0672525381104767,-0.982222418618013,0.023583148675005,0.801683533666357,0.0483239703950895,0.0739541927530635,0.0270186642075685,0.0476376664909521,0.0824738754388777,0.205380322601871,0.0515696076132696,-0.0235538879803721,0.0468353431793196,0.159508974394181,0.146824555191491,0.0409398398252554,0.0691184526448129,0.235614240359682
"POLYGON ((-88.4745951503515 31.8942312915029,-88.4315236224362 32.2275464514545,-88.4207557404574 32.3082980623706,-87.9290224634246 32.3108752414424,-88.0187548132481 32.2851034507245,-88.0079869312693 32.1854525266153,-88.0367012832128 32.1450767211572,-88.0438798711987 32.0823653637436,-88.0690049291493 32.0617479311693,-88.1192550450505 32.0531573342633,-88.1156657510575 32.0170768272583,-88.0725942231422 31.9904459768498,-88.0690049291493 31.9586607682977,-88.1228443390434 31.9500701713917,-88.086951399114 31.921721201602,-88.1300229270293 31.9045400077901,-88.1407908090081 31.864164202332,-88.1802730429304 31.8212112178022,-88.144380103001 31.7524864425544,-88.1048978690787 31.7610770394604,-88.086951399114 31.6992247417374,-88.4638272683727 31.6983656820468,-88.4745951503515 31.8942312915029))",-0.664476360035811,0.812331835965368,-0.4601564224047,-1.05405979070745,2.29944434818669,-0.725721366057625,-0.649925831741772,0.148305466531961,0.512863777613652,Choctaw,1,-0.0882634885748426,0.0320199871774457,0.0778844811012886,-1.13499941672185,0.0250486108947746,0.876838566407238,0.0549263849665083,0.117287668711951,0.0318856369180545,0.0267245317164298,0.103091379167255,0.260620000852671,0.0519305226174239,-0.0872563196347018,0.0513656719650549,0.0848397636874195,0.168548770350679,-0.15586675248958,0.0711196578682833,0.241225754578088
"POLYGON ((-88.0725942231422 31.9904459768498,-87.66700400194 31.9913050365404,-87.66700400194 31.8779091573816,-87.6203431800318 31.8701776201662,-87.6203431800318 31.8272246356363,-87.5018964782648 31.8289427550175,-87.5198429482295 31.8143387402774,-87.5162536542365 31.6975066223562,-87.5665037701377 31.6975066223562,-87.5665037701377 31.5531845943359,-87.6203431800318 31.5145269082591,-87.5629144761448 31.4775873415634,-87.5772716521165 31.4320571779618,-87.6239324740247 31.4105806856968,-87.6382896499965 31.425184700437,-87.7064862358624 31.4011310291003,-87.7244327058271 31.3435740298303,-87.7531470577706 31.3624733430234,-87.785450703707 31.3289700150901,-87.7639149397494 31.2971848065381,-87.8105757616576 31.3066344631346,-87.785450703707 31.2825807917979,-87.8285222316223 31.2757083142731,-87.8680044655447 31.2155741359314,-87.9146652874529 31.1872251661417,-87.9469689333893 31.1932385839758,-87.9433796393964 31.2439231057211,-87.9864511673117 31.2593861801518,-87.9541475213752 31.2679767770578,-87.9613261093611 31.3160841197312,-87.907486699467 31.322956597256,-87.8967188174882 31.3813726562166,-87.9433796393964 31.3753592383824,-87.9110759934599 31.4243256407464,-87.907486699467 31.491332296613,-87.9362010514105 31.5222584454744,-88.0187548132481 31.5523255346453,-88.0725942231422 31.5944194594846,-88.0905406931069 31.6588489362794,-88.086951399114 31.6992247417374,-88.1048978690787 31.7610770394604,-88.144380103001 31.7524864425544,-88.1802730429304 31.8212112178022,-88.1407908090081 31.864164202332,-88.1300229270293 31.9045400077901,-88.086951399114 31.921721201602,-88.1228443390434 31.9500701713917,-88.0690049291493 31.9586607682977,-88.0725942231422 31.9904459768498))",-0.48020702154156,0.118510579099107,-0.0550767258496006,-1.02251457487656,2.51939483583392,-0.796201892075588,-0.65710276237614,0.0279719296854951,0.628542180114446,Clarke,1,-0.0878317756157476,0.0316773367077745,0.0789542565467232,-1.12649261475868,0.0265710535295668,0.889576235578803,0.0556963327072227,0.113909891243012,0.032752830315131,0.0249120548107103,0.0988651582074186,0.24129387685426,0.0536793868323364,-0.0979509458771994,0.0536457942832765,0.094393027201573,0.168226914558785,-0.0929206003513933,0.0727470655652862,0.252089629957117
"POLYGON ((-85.8508212415124 33.4989547935379,-85.8687677114771 33.4766192415824,-85.7826246556466 33.4697467640576,-85.7646781856819 33.4989547935379,-85.6426421899219 33.4955185547755,-85.6498207779078 33.3245656763468,-85.6534100719007 33.1063645149351,-85.9764465312653 33.1055054552445,-86.0087501772018 33.0900423808138,-86.0087501772018 33.1046463955539,-86.173857700877 33.1046463955539,-86.173857700877 33.1957067227572,-86.1200182909829 33.1948476630666,-86.11642899699 33.2962167065571,-85.9800358252583 33.2944985871759,-85.9764465312653 33.3821226756167,-85.9226071213712 33.3958676306663,-85.9226071213712 33.4542836896269,-85.9046606514065 33.4542836896269,-85.9046606514065 33.4989547935379,-85.8508212415124 33.4989547935379))",-0.402658387089138,0.291965893315673,-0.172598703116291,-1.19075572597466,0.443612108663186,-0.479039524994755,-0.456148704613837,0.148305466531961,-0.947164546757771,Clay,1,-0.0858604000771639,0.0332702898971119,0.0624747950636515,-0.886784876935592,0.0258120386734625,0.760952270082576,0.0439998784333928,0.0583759480540729,0.0253576516972591,0.059887346341583,0.0723928254666776,0.161369809220048,0.050021435635806,0.00403638937338953,0.0442416178176256,0.220556706464126,0.131404766717053,0.12689212287433,0.0664980032834643,0.214473976407249
"POLYGON ((-85.8508212415124 33.4989547935379,-85.7969818316183 33.5565117928079,-85.7431424217242 33.5556527331173,-85.7431424217242 33.6003238370284,-85.6569993658937 33.6269546874369,-85.639052895929 33.6484311797018,-85.639052895929 33.7729948348383,-85.5852134860349 33.8022028643186,-85.5852134860349 33.8460149085391,-85.635463601936 33.8468739682297,-85.635463601936 33.8752229380194,-85.6031599559996 33.8898269527595,-85.5313740761408 33.8889678930689,-85.5313740761408 33.9413705341953,-85.4954811362114 33.9568336086261,-85.398570198402 33.9637060861509,-85.3878023164232 33.9018537884279,-85.337552200522 33.6527264781548,-85.3052485545855 33.4826326594166,-85.3519093764938 33.4920823160132,-85.6426421899219 33.4955185547755,-85.7646781856819 33.4989547935379,-85.7826246556466 33.4697467640576,-85.8687677114771 33.4766192415824,-85.8508212415124 33.4989547935379))",-0.291592458903765,0.118510579099107,-0.372087625199084,-0.68603227268036,-0.44306329466471,-0.549520051012718,-0.499210288420045,0.549417256020181,-1.50330484525003,Cleburne,1,-0.0855179592981861,0.0336755654410384,0.0607083571891572,-0.812304927077158,0.0294762833988448,0.7335310288759,0.0413768169584905,0.0546940341317109,0.0247765022346854,0.0683266560112025,0.0717810100598436,0.143182445962318,0.0486751133990308,0.0228052017431344,0.042269814472843,0.248086710440668,0.12581888827082,0.135057605420771,0.0654131288781627,0.202308719549414
"POLYGON ((-86.1953934648347 31.4397887151771,-86.1953934648347 31.5299899826898,-86.1451433489335 31.5377215199052,-86.1451433489335 31.6176140711307,-85.7898032436324 31.6176140711307,-85.7898032436324 31.1966748227382,-86.1918041708417 31.1923795242852,-86.1953934648347 31.4397887151771))",0.31456444425214,-0.51026493493594,-0.0577983777153367,0.0920830511483484,0.532966994269873,-0.126636894904941,-0.154717617970383,0.0480275191599064,-0.660368592762187,Coffee,1,-0.0859879292205308,0.0314021315122553,0.0725170485272439,-0.986396525976823,0.0277149172240909,0.859980989535207,0.0509703750435302,0.0757828709685504,0.0310169322876066,0.0330088801070234,0.0750611652635277,0.168490520792758,0.0530003334220968,-0.0875836552589755,0.0544621463539562,0.191214650275285,0.149499335783156,0.172347437761726,0.071593279993882,0.229340688281398
"POLYGON ((-88.0977192810928 34.8923496116861,-88.0402905772058 34.9069536264263,-87.9505582273823 34.8674368806588,-87.9218438754388 34.8047255232452,-87.8357008196082 34.7411551061411,-87.8069864676647 34.7317054495445,-87.7316112938129 34.745450404594,-87.7064862358624 34.7729403146931,-87.6131645920459 34.798712105411,-87.5844502401024 34.8193295379854,-87.5234322422224 34.8322154333443,-87.426521304413 34.8004302247922,-87.4157534224342 34.7677859565496,-87.426521304413 34.709369897589,-87.4516463623636 34.69648400223,-87.4444677743777 34.6612625549155,-87.4983071842718 34.6260411076011,-87.5306108302083 34.5667659889499,-88.1407908090081 34.58137000369,-88.0977192810928 34.8923496116861))",0.400573165764187,0.118510579099107,-0.0863250772370692,-0.402125330202318,0.484852825097042,-0.496659656499246,-0.477679496516941,-0.473417807174779,-0.217109108663604,Colbert,1,-0.0878041965534086,0.0347008903652907,0.0683117247323214,-0.745766084426216,0.0344981578860133,0.714849747059373,0.0479479337635629,0.0683887054135699,0.0271707756600363,0.0676753972402486,0.107506339808977,0.259232186046034,0.0482510802663094,0.0271421113474822,0.0461742248834668,0.131583181002675,0.159713196195324,-0.149166857332685,0.0749335809482281,0.248057293031585
"POLYGON ((-86.9060736754367 31.753345502245,-86.9060736754367 31.6322180858709,-86.8665914415144 31.5463121168112,-86.8378770895709 31.5248356245462,-86.7014839178392 31.5239765648556,-86.7014839178392 31.4363524764148,-86.6763588598886 31.4363524764148,-86.6655909779098 31.3693458205482,-86.7014839178392 31.3452921492115,-86.7014839178392 31.1923795242852,-86.7660912097121 31.1820708079981,-86.7660912097121 31.261104299533,-87.426521304413 31.2602452398424,-87.3942176584766 31.3006210453004,-87.3583247185472 31.3178022391124,-87.2973067206672 31.4011310291003,-87.2291101348013 31.4543927299173,-87.2075743708437 31.4586880283703,-87.1680921369214 31.5196812664027,-87.1357884909849 31.6416677424674,-87.0568240231402 31.6777482494725,-87.0496454351543 31.7181240549305,-86.9886274372744 31.7181240549305,-86.9060736754367 31.753345502245))",-0.642346043054547,0.725604178857085,-0.268657668940059,-0.959424143214771,2.65686389061344,-0.672860971544153,-0.628395039838668,0.629639613917824,0.769381598404381,Conecuh,1,-0.0869939026726921,0.0314292080281014,0.0771199175300631,-1.06892085161447,0.0276889016027414,0.884444833616465,0.0545003697423473,0.098056901570918,0.0325101504584,0.0269923895980938,0.0887864540587581,0.208418892017945,0.0546267954577891,-0.0982885107453513,0.0550996404709116,0.129784383231904,0.162621239803476,0.0324789134360106,0.0734581167161802,0.252138071567222
"POLYGON ((-86.5184299241992 33.0204585458755,-86.5112513362134 33.0883242614326,-86.4897155722557 33.1029282761728,-86.173857700877 33.1046463955539,-86.0087501772018 33.1046463955539,-86.0087501772018 33.0900423808138,-86.0087501772018 32.755009101481,-86.3748581644816 32.7532909820998,-86.4574119263193 32.8142842201322,-86.4502333383334 32.8641096821868,-86.4789476902769 32.874418398474,-86.5148406302063 32.9293982186722,-86.5184299241992 33.0204585458755))",-0.581951657246377,0.812331835965368,-0.535759049498091,-0.959424143214771,1.68083360167885,-0.743341497562116,-0.606864247935564,-0.312973091379491,-0.044068987095126,Coosa,1,-0.0862482697899732,0.0329362321533866,0.0650402720649742,-0.946661622735884,0.02392122403635,0.787541676457018,0.0465041544964939,0.0656925596762546,0.0262410706570801,0.0522244362192287,0.0758562575762822,0.18171085946442,0.0510941359138045,-0.0145310587867625,0.0460847341203669,0.190538081092137,0.139115176357867,0.0987786180093329,0.067866848701985,0.225880357805762
"POLYGON ((-86.7014839178392 31.5239765648556,-86.5004834542345 31.5256946842368,-86.3999832224322 31.527412803618,-86.3963939284393 31.4509564911549,-86.3640902825028 31.48703699816,-86.3389652245522 31.48703699816,-86.2815365206652 31.5282718633086,-86.2779472266723 31.4552517896079,-86.2635900507005 31.4415068345583,-86.1953934648347 31.4397887151771,-86.1918041708417 31.1923795242852,-86.1882148768488 30.9939367357574,-86.3892153404534 30.9939367357574,-86.6871267418674 30.9947957954479,-86.7014839178392 31.0008092132821,-86.7014839178392 31.1923795242852,-86.7014839178392 31.3452921492115,-86.6655909779098 31.3693458205482,-86.6763588598886 31.4363524764148,-86.7014839178392 31.4363524764148,-86.7014839178392 31.5239765648556))",-0.123914945409901,0.422057378978097,-0.324313840106623,-0.696547344623991,0.299269601144691,-0.690481103048644,-0.556625733494988,0.308750182327249,-1.11524956059885,Covington,1,-0.0864515604549894,0.0312480087752276,0.0758018631778867,-1.01970113820174,0.0289008339637645,0.876836518927366,0.0533806543541672,0.0866614949283852,0.0325566575908985,0.0282832769533161,0.0825164872264042,0.186031740382217,0.0546489854879329,-0.0991418597867472,0.0559502927605755,0.159619577777616,0.157705555816746,0.11076899831475,0.0734964667145058,0.244251653252269
